t_h,Xylan_gL,Xylose_gL,XOS_gL,X_eng_gL,X_bifido_gL,SCFA_gL,T_C,pH,DO_mgL
24.5,9.989251993284233,0.0036642309630944563,0.006321708373626642,8.562297662812446,0.008850572530525899,0.0001713090083968445,29.923177599389483,6.500300350348366,5.988908326828759
24.6,9.989047831190101,0.0037330554794932657,0.006446744519990095,8.723063742851249,0.008842194114032547,0.0001727935204413613,29.92618165542011,6.5002906261574385,5.982586277390507
24.700000000000003,9.98883969035692,0.003803222968352715,0.006574271671949325,8.886965491060502,0.008833833370232037,0.00017428348100143748,29.929267400408786,6.500281182034041,5.976132314869327
24.8,9.988627486524624,0.003874761948346164,0.006704342389496148,9.05406945163801,0.00882549048223254,0.00017577905570078213,29.932436556548986,6.50027200967368,5.9695432848347085
24.900000000000002,9.988411133369768,0.0039477016395157525,0.00683701051552181,9.224443803721696,0.00881716563807912,0.0001772804147807732,29.93569088815596,6.500263101016471,5.962815941650039
25.0,9.988190542444073,0.00402207198427797,0.006972331213872619,9.398158410276865,0.00880885903091274,0.00017878773326594508,29.939032202919716,6.500254448239884,5.955946945241725
25.1,9.98796562311069,0.004097903669200335,0.007110361008789765,9.575284868774235,0.008800570859135506,0.0001803011911367373,29.942462353203727,6.500246043751705,5.948932857731516
25.200000000000003,9.987736282478135,0.004175228147582848,0.007251157825793289,9.755896563736718,0.008792301326582532,0.00018182097350987324,29.94598323739124,6.500237880183207,5.941770139925362
25.3,9.987502425331776,0.004254077662879763,0.007394781034073361,9.940068721237147,0.008784050642700606,0.0001833472708267671,29.949596801281427,6.500229950382512,5.93445514765166
25.400000000000002,9.987263954062751,0.004334485272998838,0.007541291490455143,10.127878465433152,0.008775819022734124,0.00018488027905037504,29.953305039537458,6.500222247408168,5.926984127941482
25.5,9.987020768594238,0.004416484875517269,0.007690751585006802,10.319404877229772,0.00876760668791852,0.00018642019987093452,29.957109997188855,6.5002147645228865,5.919353215042841
25.6,9.986772766304922,0.004500111233855495,0.007843225288364019,10.51472905516522,0.008759413865681609,0.00018796724092106162,29.961013771190526,6.500207495187493,5.911558426260656
25.700000000000003,9.986519841949557,0.004585400004452155,0.007998778200847826,10.713934178619896,0.008751240789853216,0.0001895216160007041,29.96501851204105,6.500200433055038,5.903595657613633
25.8,9.986261887576472,0.0046723877649857935,0.008157477603456864,10.917105573454185,0.008743087700883468,0.0001910835453124787,29.96912642546284,6.5001935719650765,5.895460679298687
25.900000000000002,9.985998792441908,0.004761112043691313,0.008319392510819203,11.124330780186035,0.0087349548460702,0.0001926532557079547,29.973339774147128,6.500186905938139,5.887149130953081
26.0,9.985730442921005,0.004851611349821607,0.008484593726193333,11.335699624824954,0.008726842479795903,0.00019423098094547696,29.977660879566532,6.500180429170338,5.878656516703825
26.1,9.985456722415316,0.004943925205307674,0.0086531538986129,11.55130429248572,0.008718750863774704,0.0001958169619601638,29.9820921238586,6.500174136028149,5.869978199993302
