t_s,T_actual,T_target,pid_output,p_heater_w,p_peltier_w,peltier_on,peltier_auto
205.0,35.133,35.0,0.0461,4.61,0.0,0,1
206.0,35.131,35.0,0.0462,4.62,0.0,0,1
207.0,35.129,35.0,0.0462,4.62,0.0,0,1
208.0,35.126,35.0,0.0463,4.63,0.0,0,1
209.0,35.124,35.0,0.0464,4.64,0.0,0,1
210.0,35.122,35.0,0.0464,4.64,0.0,0,1
211.0,35.12,35.0,0.0465,4.65,0.0,0,1
212.0,35.118,35.0,0.0465,4.65,0.0,0,1
213.0,35.116,35.0,0.0466,4.66,0.0,0,1
214.0,35.114,35.0,0.0467,4.67,0.0,0,1
215.0,35.112,35.0,0.0467,4.67,0.0,0,1
216.0,35.11,35.0,0.0468,4.68,0.0,0,1
217.0,35.108,35.0,0.0468,4.68,0.0,0,1
218.0,35.107,35.0,0.0469,4.69,0.0,0,1
219.0,35.105,35.0,0.0469,4.69,0.0,0,1
220.0,35.103,35.0,0.047,4.7,0.0,0,1
221.0,35.101,35.0,0.047,4.7,0.0,0,1
222.0,35.1,35.0,0.0471,4.71,0.0,0,1
223.0,35.098,35.0,0.0471,4.71,0.0,0,1
224.0,35.096,35.0,0.0472,4.72,0.0,0,1
225.0,35.095,35.0,0.0472,4.72,0.0,0,1
226.0,35.093,35.0,0.0473,4.73,0.0,0,1
227.0,35.091,35.0,0.0473,4.73,0.0,0,1
228.0,35.09,35.0,0.0474,4.74,0.0,0,1
229.0,35.088,35.0,0.0474,4.74,0.0,0,1
230.0,35.087,35.0,0.0475,4.75,0.0,0,1
231.0,35.085,35.0,0.0475,4.75,0.0,0,1
232.0,35.084,35.0,0.0475,4.75,0.0,0,1
233.0,35.083,35.0,0.0476,4.76,0.0,0,1
234.0,35.081,35.0,0.0476,4.76,0.0,0,1
235.0,35.08,35.0,0.0477,4.77,0.0,0,1
236.0,35.078,35.0,0.0477,4.77,0.0,0,1
237.0,35.077,35.0,0.0477,4.77,0.0,0,1
238.0,35.076,35.0,0.0478,4.78,0.0,0,1
239.0,35.075,35.0,0.0478,4.78,0.0,0,1
240.0,35.073,35.0,0.0479,4.79,0.0,0,1
241.0,35.072,35.0,0.0479,4.79,0.0,0,1
242.0,35.071,35.0,0.0479,4.79,0.0,0,1
243.0,35.07,35.0,0.048,4.8,0.0,0,1
244.0,35.068,35.0,0.048,4.8,0.0,0,1
245.0,35.067,35.0,0.048,4.8,0.0,0,1
246.0,35.066,35.0,0.0481,4.81,0.0,0,1
247.0,35.065,35.0,0.0481,4.81,0.0,0,1
248.0,35.064,35.0,0.0481,4.81,0.0,0,1
249.0,35.063,35.0,0.0482,4.82,0.0,0,1
250.0,35.062,35.0,0.0482,4.82,0.0,0,1
251.0,35.061,35.0,0.0482,4.82,0.0,0,1
252.0,35.06,35.0,0.0483,4.83,0.0,0,1
253.0,35.059,35.0,0.0483,4.83,0.0,0,1
254.0,35.058,35.0,0.0483,4.83,0.0,0,1
255.0,35.057,35.0,0.0483,4.83,0.0,0,1
256.0,35.056,35.0,0.0484,4.84,0.0,0,1
257.0,35.055,35.0,0.0484,4.84,0.0,0,1
258.0,35.054,35.0,0.0484,4.84,0.0,0,1
259.0,35.053,35.0,0.0484,4.84,0.0,0,1
260.0,35.052,35.0,0.0485,4.85,0.0,0,1
261.0,35.051,35.0,0.0485,4.85,0.0,0,1
262.0,35.05,35.0,0.0485,4.85,0.0,0,1
263.0,35.05,35.0,0.0486,4.86,0.0,0,1
264.0,35.049,35.0,0.0486,4.86,0.0,0,1
265.0,35.048,35.0,0.0486,4.86,0.0,0,1
266.0,35.047,35.0,0.0486,4.86,0.0,0,1
267.0,35.046,35.0,0.0486,4.86,0.0,0,1
268.0,35.045,35.0,0.0487,4.87,0.0,0,1
269.0,35.045,35.0,0.0487,4.87,0.0,0,1
270.0,35.044,35.0,0.0487,4.87,0.0,0,1
271.0,35.043,35.0,0.0487,4.87,0.0,0,1
272.0,35.042,35.0,0.0488,4.88,0.0,0,1
273.0,35.042,35.0,0.0488,4.88,0.0,0,1
274.0,35.041,35.0,0.0488,4.88,0.0,0,1
275.0,35.04,35.0,0.0488,4.88,0.0,0,1
276.0,35.04,35.0,0.0488,4.88,0.0,0,1
277.0,35.039,35.0,0.0489,4.89,0.0,0,1
278.0,35.038,35.0,0.0489,4.89,0.0,0,1
279.0,35.038,35.0,0.0489,4.89,0.0,0,1
280.0,35.037,35.0,0.0489,4.89,0.0,0,1
281.0,35.036,35.0,0.0489,4.89,0.0,0,1
282.0,35.036,35.0,0.049,4.9,0.0,0,1
283.0,35.035,35.0,0.049,4.9,0.0,0,1
284.0,35.035,35.0,0.049,4.9,0.0,0,1
285.0,35.034,35.0,0.049,4.9,0.0,0,1
286.0,35.033,35.0,0.049,4.9,0.0,0,1
287.0,35.033,35.0,0.049,4.9,0.0,0,1
288.0,35.032,35.0,0.0491,4.91,0.0,0,1
289.0,35.032,35.0,0.0491,4.91,0.0,0,1
290.0,35.031,35.0,0.0491,4.91,0.0,0,1
